City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
113,Mpika,ZM,2020-05-09 20:49:36,-11.83,31.45,58.21,78,0,11.9,clear sky,0.0,0.0
114,Lebu,CL,2020-05-09 20:48:03,-37.62,-73.65,58.06,80,100,17.02,overcast clouds,0.0,0.0
115,Zhuhai,CN,2020-05-09 20:49:36,22.28,113.57,84.2,88,40,6.93,scattered clouds,0.0,0.0
116,Poli,TZ,2020-05-09 20:49:36,-3.33,36.8,69.8,93,75,13.87,broken clouds,0.0,0.0
117,Koungou,YT,2020-05-09 20:49:37,-12.73,45.2,78.8,94,73,3.36,light rain,0.0,0.0
118,Bathsheba,BB,2020-05-09 20:49:37,13.22,-59.52,84.2,62,40,23.04,shower rain,0.0,0.0
119,Hilo,US,2020-05-09 20:49:11,19.73,-155.09,78.8,65,40,6.93,scattered clouds,0.0,0.0
120,Mitu,CO,2020-05-09 20:45:16,1.2,-70.17,80.04,92,97,1.48,moderate rain,0.0,0.0
121,Seddon,AU,2020-05-09 20:46:46,-37.81,144.89,48.0,81,40,9.17,scattered clouds,0.0,0.0
122,Ekibastuz,KZ,2020-05-09 20:49:38,51.67,75.37,57.49,56,11,9.62,few clouds,0.0,0.0
123,Dera Bugti,PK,2020-05-09 20:49:38,29.03,69.15,86.63,18,0,5.39,clear sky,0.0,0.0
124,Laguna,US,2020-05-09 20:49:38,38.42,-121.42,89.01,27,1,8.05,clear sky,0.0,0.0
125,Esperance,AU,2020-05-09 20:49:39,-33.87,121.9,46.4,93,0,10.29,clear sky,0.0,0.0
126,Tasiilaq,GL,2020-05-09 20:49:39,65.61,-37.64,32.0,88,100,12.75,overcast clouds,0.0,0.0
127,Okhotsk,RU,2020-05-09 20:49:39,59.38,143.3,36.61,80,0,13.02,clear sky,0.0,0.0
128,Hovd,MN,2020-05-09 20:49:39,48.01,91.64,41.59,53,0,0.51,clear sky,0.0,0.0
129,Jijiga,ET,2020-05-09 20:49:40,9.35,42.8,66.04,83,55,3.74,broken clouds,0.0,0.0
130,Alice Springs,AU,2020-05-09 20:49:40,-23.7,133.88,48.2,61,60,1.12,broken clouds,0.0,0.0
131,Saldanha,ZA,2020-05-09 20:49:40,-33.01,17.94,60.8,72,0,2.24,clear sky,0.0,0.0
132,Lompoc,US,2020-05-09 20:46:28,34.64,-120.46,72.0,82,75,10.29,broken clouds,0.0,0.0
133,Saskylakh,RU,2020-05-09 20:49:41,71.92,114.08,20.55,97,100,14.5,snow,0.0,0.0
134,Guerrero Negro,MX,2020-05-09 20:49:41,27.98,-114.06,77.25,44,0,13.22,clear sky,0.0,0.0
135,Kochi,IN,2020-05-09 20:49:41,9.94,76.26,80.6,94,40,6.22,thunderstorm,0.0,0.0
136,Narsaq,GL,2020-05-09 20:49:41,60.92,-46.05,51.8,21,59,21.92,broken clouds,0.0,0.0
137,Longyearbyen,SJ,2020-05-09 20:49:41,78.22,15.64,17.6,61,20,16.11,few clouds,0.0,0.0
138,Makakilo City,US,2020-05-09 20:49:42,21.35,-158.09,82.4,54,75,14.99,broken clouds,0.0,0.0
139,Victoria,HK,2020-05-09 20:44:50,22.29,114.16,82.0,86,78,5.01,broken clouds,0.0,0.0
140,San Cristobal,VE,2020-05-09 20:49:42,7.77,-72.22,86.0,48,75,25.28,broken clouds,0.0,0.0
141,Sangmelima,CM,2020-05-09 20:49:42,2.93,11.98,69.46,94,90,0.29,light rain,0.0,0.0
142,Amapa,BR,2020-05-09 20:49:43,1.0,-52.0,78.6,95,67,3.09,moderate rain,0.0,0.0
143,Kaniama,CD,2020-05-09 20:49:43,-7.57,24.18,68.92,89,50,2.84,scattered clouds,0.0,0.0
144,Sao Felix Do Xingu,BR,2020-05-09 20:49:43,-6.64,-51.99,78.62,86,69,2.71,light rain,0.0,0.0
145,Trogir,HR,2020-05-09 20:49:43,43.51,16.25,61.0,58,39,3.36,scattered clouds,0.0,0.0
146,Cidreira,BR,2020-05-09 20:49:44,-30.18,-50.21,64.33,76,0,7.96,clear sky,0.0,0.0
147,Provideniya,RU,2020-05-09 20:49:44,64.38,-173.3,39.15,76,100,25.64,overcast clouds,0.0,0.0
