City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Bilma,NE,2020-01-05 14:22:22,18.69,12.92,67.69,19,33,5.82
98,Killybegs,IE,2020-01-05 14:22:23,54.63,-8.45,53.6,100,90,12.75
99,Nizwa,OM,2020-01-05 14:22:23,22.93,57.53,66.74,51,0,4.88
100,Lorengau,PG,2020-01-05 14:22:23,-2.02,147.27,83.84,74,100,6.58
101,Dunedin,NZ,2020-01-05 14:22:23,-45.87,170.5,55.99,42,8,15.01
102,Constitucion,MX,2020-01-05 14:22:24,23.99,-104.67,34.0,100,5,2.24
103,Amazar,RU,2020-01-05 14:22:24,53.86,120.88,-5.96,98,53,0.81
104,Nalut,LY,2020-01-05 14:22:24,31.86,10.98,57.24,47,15,10.07
105,Derzhavinsk,KZ,2020-01-05 14:22:24,51.1,66.31,16.03,95,40,6.78
106,Bereda,ES,2020-01-05 14:22:24,43.27,-7.54,54.0,71,0,1.12
107,Kikwit,CD,2020-01-05 14:22:25,-5.04,18.82,79.84,85,100,1.01
108,Camacha,PT,2020-01-05 14:22:25,33.08,-16.33,66.2,72,40,11.41
109,Saint-Georges,CA,2020-01-05 14:22:25,46.12,-70.67,23.0,100,100,1.99
110,Dao,PH,2020-01-05 14:22:25,11.39,122.69,75.24,93,76,10.18
111,Maragogi,BR,2020-01-05 14:21:30,-9.01,-35.22,80.2,72,100,9.4
112,Lagoa Santa,BR,2020-01-05 14:22:26,-19.64,-43.9,75.2,78,75,8.05
113,Isangel,VU,2020-01-05 14:22:26,-19.55,169.27,75.97,83,77,15.93
114,Poum,MK,2020-01-05 14:22:26,41.28,20.71,35.6,40,75,13.87
115,Tual,ID,2020-01-05 14:22:26,-5.67,132.75,83.61,77,100,7.25
116,The Valley,AI,2020-01-05 14:22:27,18.22,-63.06,84.0,65,20,9.17
117,Hambantota,LK,2020-01-05 14:22:27,6.12,81.12,80.6,88,20,5.82
118,Veraval,FR,2020-01-05 14:22:27,49.65,0.71,46.99,87,90,6.93
119,Half Moon Bay,US,2020-01-05 14:22:27,37.46,-122.43,46.99,87,1,13.47
120,Chifeng,CN,2020-01-05 14:22:28,42.27,118.96,23.27,58,100,7.16
121,Huarmey,PE,2020-01-05 14:22:28,-10.07,-78.15,80.29,53,77,7.25
122,Ukiah,US,2020-01-05 14:22:28,39.15,-123.21,46.99,93,40,3.83
123,Wisconsin Rapids,US,2020-01-05 14:19:16,44.39,-89.82,27.0,85,90,9.17
124,Tasiilaq,GL,2020-01-05 14:22:29,65.61,-37.64,30.2,58,100,16.11
125,Atuona,PF,2020-01-05 14:22:29,-9.8,-139.03,80.1,67,0,3.2
126,Husavik,CA,2020-01-05 14:22:29,50.56,-96.99,27.0,86,100,17.0
127,Carnarvon,ZA,2020-01-05 14:22:29,-30.97,22.13,90.5,7,0,21.59
128,Port Hedland,AU,2020-01-05 14:22:29,-20.31,118.58,86.0,66,75,2.24
129,Hasaki,JP,2020-01-05 14:22:30,35.73,140.83,35.6,64,20,5.82
130,Qaanaaq,GL,2020-01-05 14:22:30,77.48,-69.36,-30.33,48,0,5.39
131,Rocha,UY,2020-01-05 14:18:26,-34.48,-54.34,83.84,33,0,7.11
132,Olinda,AU,2020-01-05 14:22:30,-37.84,145.39,60.01,82,75,10.29
133,Iqaluit,CA,2020-01-05 14:22:31,63.75,-68.52,-31.0,59,20,11.41
134,Itaituba,BR,2020-01-05 14:18:31,-4.26,-55.99,82.4,83,40,8.05
135,Buraydah,SA,2020-01-05 14:22:31,26.33,43.97,60.8,38,0,3.36
136,Khatanga,RU,2020-01-05 14:22:31,71.98,102.47,-10.89,87,85,10.07
137,Izumo,JP,2020-01-05 14:22:32,35.37,132.75,41.0,86,75,3.36
138,Springbok,ZA,2020-01-05 14:22:32,-29.67,17.88,76.23,37,0,21.32
139,Tuktoyaktuk,CA,2020-01-05 14:22:32,69.44,-133.03,-24.72,90,84,2.93
